word,freq
“fossil,3
abund,3
ambigu,3
anthropolog,3
april,3
basic,3
bed,3
campaign,3
care,3
circumst,3
classif,3
collabor,3
collec,3
combin,3
confus,3
constant,3
core,3
deep,3
definit,3
derstand,3
des,3
desir,3
educa,3
either,3
entir,3
ever,3
frame,3
frequent,3
geograph,3
httpsdoiorggc,3
hunt,3
imen,3
januari,3
learn,3
mate,3
network,3
never,3
numer,3
oblig,3
outlet,3
partial,3
past,3
pli,3
profe,3
quest,3
readi,3
said,3
seem,3
sold,3
spec,3
stone,3
suit,3
sustain,3
tie,3
ton,3
updat,3
versiti,3
